Manoel,mɐnɔɛl
Maqluba,mɐʔlʊbɐ
Marsalforn,mɐrsɐlfɔrn
M'Forn,mɐrsɐlfɔrn
Marsamxett,mɐrsɐmʃɛtt
Marsaxlokk,mɐrsɐʃlɔkk
Mdina,mdɪnɐ
Mellieħa,mɛllɪ:hɐ
Mensija,mɛnsɪjɐ
Metsola,mɛtssɔlɐ
Mgarr,mgɐrr
Misraħ,mɪsrɐh
Misraħ il-Maqluba,mɪsrɐh ɪlmɐʔlʊbɐ
Mnajdra,mnɐɪdrɐ
Mosta,mɔstɐ
Msida,msɪdɐ
MUŻA,mʊzɐ
Nadur,nɐdʊr
Nar tal-ajru,nɐr tɐlɐɪrʊ
Naxxar,nɐʃʃɐr
Palm Sunday,pɐlm sʌndeɪ 
Predominant,prɪdɒmɪnənt
Punic Period,pʊnɪc pɛrɪəd
Qala,ʔɐlɐ
Qawra,ʔɐʊrɐ
QR Code,kju: ɑr kɔd
Qrendi,ʔrɛndɪ
Rabat,rɐbɐt
Ramla l-Ħamra,rɐmlɐ lhɐmrɐ
Rinella,rɪnɛllɐ
Safi,sɐfɪ
San Blas,sɐn blɐs
San Ġiljan,sɐn ʤɪljɐn
San Ġwann,sɐn ʤwɐnn
San Pawl il-Baħar,sɐn pɐʊl ɪlbɐhɐr
Senglea,sɛnglɛɐ
Sannat,sɐnnɐt
Sarah,sɐ:rɐ:h
Schembri,scɛ:mbrɪ
Selmun,sɛlmʊn
Sette Giugno,sɛttɛ gɪʊgnɔ
Siġġiewi,sɪʤʤɪ:wɪ
Sliema,slɪ:mɐ
St. Agatha,sɐnt ɐgɐtɐ: 
St. Angelo,sɐnt ɐngɛlɔ
St. Elmo,sɐnt ɛlmɔ
St. George,sɐnt gɛɔrgɛ
St. Helen,sɐnt ɛ:lɛn
St. John,sɐnt jɔn
St. Joseph,sɐnt jɔsɛph
St. Julian,sɐnt jʊlɪɐn
St. Mary,sɐnt mɐrɪ
St. Nicholas,sɐnt nɪcɔlɐs
St. Paul,st pɐʊl
St. Peter,st pɛtɛr
St. Thomas,st tɔmɐs
Swieqi,swɪ:ʔɪ
Ta' Fra Ben Bay,tɐ frɐ bɛn bɐɪ
Ta' Gurdan,tɐ gʊrdɐn
Ta' Ħaġrat,tɐ hɐʤrɐt
Ta' Pinu,tɐ pɪnʊ
Ta' Qali,tɐ ʔɐlɪ
Ta' Xbiex,tɐ ʒbɪ:ʃ
Tarxien,tɐrʃɪ:n
Verdala,vɛrdɐlɐ
Vittoriosa,vɪttɔrɪɔsɐ
Wied,wɪ:t
Wied Babu,wɪ:t bɐbʊ
Wied il-Għajn,wɪ:t ɪlkhɐɪn
Wied il-Għasri,wɪ:t ɪlkhɐ:srɪ
Wied il-Kbir,wɪ:t ɪlgbɪr
Wied il-Mielaħ,wɪ:t ɪlmɪ:lɐh
Wied iz-Żurrieq,wɪ:t ɪtszʊrrɪ:ʔ
WWII,wə:rld wɒ:r tu
world war two,wə:rld wɒ:r tu
Xagħra,ʃɐ:rɐ
Xewkija,ʃɛʊkɪjɐ
Xlendi,ʃlɛndɪ
Żejtun,zɛɪtʊn
Żebbiegħ,zɛbbɪ:h
Żebbuġ,zɛbbʊʧ
Zerafa,tsɛrɐfɐ
Żonqor,zɔnʔɔr
Żurrieq,zʊrrɪ:ʔ