Manoel, mɐnɔɛl, M <AA> N <AO> <EH> L
Maqluba, mɐʔlʊbɐ, M <AA> <UNK> L <UH> B <AA>
Marsalforn, mɐrsɐlfɔrn, M <AA> R S <AA> L F <AO> R N
M'Forn, mɐrsɐlfɔrn, M <AA> R S <AA> L F <AO> R N
Marsamxett, mɐrsɐmʃɛtt, M <AA> R S <AA> M SH <EH> T T
Marsaxlokk, mɐrsɐʃlɔkk, M <AA> R S <AA> SH L <AO> K K
Mdina, mdɪnɐ, M D <IH> N <AA>
Mellieħa, mɛllɪhɐ, M <EH> L L <IH> HH <AA>
Mensija, mɛnsɪjɐ, M <EH> N S <IH> Y <AA>
Metsola, mɛtssɔlɐ, M <EH> T S S <AO> L <AA>
Mgarr, mgɐrr, M G <AA> R R
Misraħ, mɪsrɐh, M <IH> S R <AA> HH
Misraħ il-Maqluba, mɪsrɐh ɪlmɐʔlʊbɐ, M <IH> S R <AA> HH   <IH> L M <AA> <UNK> L <UH> B <AA>
Mnajdra, mnɐɪdrɐ, M N <AA> <IH> D R <AA>
Mosta, mɔstɐ, M <AO> S T <AA>
Msida, msɪdɐ, M S <IH> D <AA>
MUŻA, mʊzɐ, M <UH> Z <AA>
Nadur, nɐdʊr, N <AA> D <UH> R
Nar tal-ajru, nɐr tɐlɐɪrʊ, N <AA> R   T <AA> L <AA> <IH> R <UH>
Naxxar, nɐʃʃɐr, N <AA> SH SH <AA> R
Palm Sunday, pɐlm sʌndeɪ , P <AA> L M   S <AH>> N D <EH>> <IH>  
Predominant, prɪdɒmɪnənt, P R <IH> D <OH> M <IH> N AH0 N T
Punic Period, pʊnɪc pɛrɪəd, P <UH> N <IH> <K>   P <EH> R <IH> AH0 D
Qala, ʔɐlɐ, <UNK> <AA> L <AA>
Qawra, ʔɐʊrɐ, <UNK> <AA> <UH> R <AA>
QR Code, kju ɑr kɔd, K Y <UW>   <AH> R   K <AO> D
Qrendi, ʔrɛndɪ, <UNK> R <EH> N D <IH>
Rabat, rɐbɐt, R <AA> B <AA> T
Ramla l-Ħamra, rɐmlɐ lhɐmrɐ, R <AA> M L <AA>   L HH <AA> M R <AA>
Rinella, rɪnɛllɐ, R <IH> N <EH> L L <AA>
Safi, sɐfɪ, S <AA> F <IH>
San Blas, sɐn blɐs, S <AA> N   B L <AA> S
San Ġiljan, sɐn ʤɪljɐn, S <AA> N   JH <IH> L Y <AA> N
San Ġwann, sɐn ʤwɐnn, S <AA> N   JH W <AA> N N
San Pawl il-Baħar, sɐn pɐʊl ɪlbɐhɐr, S <AA> N   P <AA> <UH> L   <IH> L B <AA> HH <AA> R
Senglea, sɛnglɛɐ, S <EH> N G L <EH> <AA>
Sannat, sɐnnɐt, S <AA> N N <AA> T
Sarah, sɐrɐh, S <AA> R <AA> HH
Schembri, scɛmbrɪ, S <K> <EH> M B R <IH>
Selmun, sɛlmʊn, S <EH> L M <UH> N
Sette Giugno, sɛttɛ gɪʊgnɔ, S <EH> T T <EH>   G <IH> <UH> G N <AO>
Siġġiewi, sɪʤʤɪwɪ, S <IH> JH JH <IH> W <IH>
Sliema, slɪmɐ, S L <IH> M <AA>
St. Agatha, sɐnt ɐgɐtɐ , S <AA> N T   <AA> G <AA> T <AA>  
St. Angelo, sɐnt ɐngɛlɔ, S <AA> N T   <AA> N G <EH> L <AO>
St. Elmo, sɐnt ɛlmɔ, S <AA> N T   <EH> L M <AO>
St. George, sɐnt gɛɔrgɛ, S <AA> N T   G <EH> <AO> R G <EH>
St. Helen, sɐnt ɛlɛn, S <AA> N T   <EH> L <EH> N
St. John, sɐnt jɔn, S <AA> N T   Y <AO> N
St. Joseph, sɐnt jɔsɛph, S <AA> N T   Y <AO> S <EH> P HH
St. Julian, sɐnt jʊlɪɐn, S <AA> N T   Y <UH> L <IH> <AA> N
St. Mary, sɐnt mɐrɪ, S <AA> N T   M <AA> R <IH>
St. Nicholas, sɐnt nɪcɔlɐs, S <AA> N T   N <IH> <K> <AO> L <AA> S
St. Paul, st pɐʊl, S T   P <AA> <UH> L
St. Peter, st pɛtɛr, S T   P <EH> T <EH> R
St. Thomas, st tɔmɐs, S T   T <AO> M <AA> S
Swieqi, swɪʔɪ, S W <IH> <UNK> <IH>
Ta' Fra Ben Bay, tɐ frɐ bɛn bɐɪ, T <AA>   F R <AA>   B <EH> N   B <AA> <IH>
Ta' Gurdan, tɐ gʊrdɐn, T <AA>   G <UH> R D <AA> N
Ta' Ħaġrat, tɐ hɐʤrɐt, T <AA>   HH <AA> JH R <AA> T
Ta' Pinu, tɐ pɪnʊ, T <AA>   P <IH> N <UH>
Ta' Qali, tɐ ʔɐlɪ, T <AA>   <UNK> <AA> L <IH>
Ta' Xbiex, tɐ ʒbɪʃ, T <AA>   ZH B <IH> SH
Tarxien, tɐrʃɪn, T <AA> R SH <IH> N
Verdala, vɛrdɐlɐ, V <EH> R D <AA> L <AA>
Vittoriosa, vɪttɔrɪɔsɐ, V <IH> T T <AO> R <IH> <AO> S <AA>
Wied, wɪt, W <IH> T
Wied Babu, wɪt bɐbʊ, W <IH> T   B <AA> B <UH>
Wied il-Għajn, wɪt ɪlkhɐɪn, W <IH> T   <IH> L K HH <AA> <IH> N
Wied il-Għasri, wɪt ɪlkhɐsrɪ, W <IH> T   <IH> L K HH <AA> S R <IH>
Wied il-Kbir, wɪt ɪlgbɪr, W <IH> T   <IH> L G B <IH> R
Wied il-Mielaħ, wɪt ɪlmɪlɐh, W <IH> T   <IH> L M <IH> L <AA> HH
Wied iz-Żurrieq, wɪt ɪtszʊrrɪʔ, W <IH> T   <IH> T S Z <UH> R R <IH> <UNK>
WWII, wərld wɒr tu, W AH0 R L D   W <OH> R   T <UW>
world war two, wərld wɒr tu, W AH0 R L D   W <OH> R   T <UW>
Xagħra, ʃɐrɐ, SH <AA> R <AA>
Xewkija, ʃɛʊkɪjɐ, SH <EH> <UH> K <IH> Y <AA>
Xlendi, ʃlɛndɪ, SH L <EH> N D <IH>
Żejtun, zɛɪtʊn, Z <EH> <IH> T <UH> N
Żebbiegħ, zɛbbɪh, Z <EH> B B <IH> HH
Żebbuġ, zɛbbʊʧ, Z <EH> B B <UH> CH
Zerafa, tsɛrɐfɐ, T S <EH> R <AA> F <AA>
Żonqor, zɔnʔɔr, Z <AO> N <UNK> <AO> R
Żurrieq, zʊrrɪʔ, Z <UH> R R <IH> <UNK>
